date,nb_uniq_visitors,nb_users,nb_visits,nb_actions,nb_visits_converted,bounce_count,sum_visit_length,max_actions,bounce_rate,nb_actions_per_visit,avg_time_on_site
2015-04-07,3,0,3,6,0,1,23,3,33,2,8
2015-04-08,60,0,72,361,0,30,15928,44,42,5,221
2015-04-09,74,0,84,358,0,29,17652,39,35,4.3,210
2015-04-10,67,0,73,367,0,24,14722,34,33,5,202
2015-04-11,9,0,10,44,0,0,3370,12,0,4.4,337
2015-04-12,18,0,19,64,0,9,2736,11,47,3.4,144
2015-04-13,66,0,81,525,0,24,40096,83,30,6.5,495
2015-04-14,125,0,166,1010,3,33,66034,52,20,6.1,398
2015-04-15,922,0,995,3912,41,399,201740,109,40,3.9,203
2015-04-16,1898,0,2062,9445,148,681,449948,177,33,4.6,218
2015-04-17,2460,0,2669,12859,453,595,500347,474,22,4.8,187
2015-04-18,414,0,468,1773,55,162,58005,24,35,3.8,124
2015-04-19,242,0,266,954,31,101,30511,23,38,3.6,115
2015-04-20,846,0,945,4723,130,238,210831,192,25,5,223
2015-04-21,1493,0,1619,7382,204,462,306786,51,29,4.6,189
2015-04-22,561,0,630,2847,81,201,126114,35,32,4.5,200
2015-04-23,424,0,484,1997,50,172,95628,98,36,4.1,198
2015-04-24,372,0,438,2034,61,136,98551,54,31,4.6,225
2015-04-25,108,0,118,419,17,40,22921,15,34,3.6,194
2015-04-26,99,0,117,533,14,42,28307,40,36,4.6,242
2015-04-27,370,0,424,2214,59,122,130359,46,29,5.2,307
2015-04-28,537,0,599,2672,104,143,125685,30,24,4.5,210
2015-04-29,407,0,451,2178,62,116,110933,59,26,4.8,246
2015-04-30,316,0,365,1654,48,110,86047,25,30,4.5,236
2015-05-01,69,0,73,347,8,22,13564,32,30,4.8,186
2015-05-02,51,0,54,196,5,15,4750,16,28,3.6,88
2015-05-03,39,0,43,150,9,12,7135,13,28,3.5,166
2015-05-04,321,0,369,1833,45,119,122528,37,32,5,332
2015-05-05,224,0,288,1510,35,80,72327,57,28,5.2,251
2015-05-06,207,0,242,1136,26,66,60352,38,27,4.7,249
2015-05-07,236,0,266,1325,26,67,71927,55,25,5,270
2015-05-08,46,0,60,238,7,18,11543,32,30,4,192
2015-05-09,32,0,34,149,1,10,9080,14,29,4.4,267
2015-05-10,26,0,35,93,1,18,1472,13,51,2.7,42
2015-05-11,182,0,220,847,16,72,37918,25,33,3.9,172
2015-05-12,208,0,236,1070,33,65,69746,36,28,4.5,296
2015-05-13,158,0,180,748,18,59,40710,28,33,4.2,226
2015-05-14,32,0,34,114,5,13,4567,14,38,3.4,134
2015-05-15,83,0,93,571,9,25,29887,27,27,6.1,321
2015-05-16,27,0,28,106,1,10,3987,16,36,3.8,142
2015-05-17,27,0,30,114,5,12,5880,20,40,3.8,196
2015-05-18,207,0,241,1080,20,76,57297,41,32,4.5,238
2015-05-19,215,0,249,1345,23,66,83113,95,27,5.4,334
2015-05-20,256,0,306,1610,51,82,90396,60,27,5.3,295
2015-05-21,252,0,292,1257,34,84,57598,31,29,4.3,197
2015-05-22,147,0,164,752,15,36,24794,25,22,4.6,151
2015-05-23,57,0,59,152,3,30,5157,14,51,2.6,87
2015-05-24,35,0,36,135,3,12,2601,14,33,3.8,72
2015-05-25,45,0,52,192,7,21,10958,18,40,3.7,211
2015-05-26,141,0,168,732,21,57,39336,44,34,4.4,234
2015-05-27,174,0,211,928,26,68,55965,41,32,4.4,265
2015-05-28,149,0,180,750,19,72,28940,31,40,4.2,161
2015-05-29,156,0,185,959,20,51,64988,32,28,5.2,351
2015-05-30,29,0,34,130,1,13,5581,15,38,3.8,164
2015-05-31,39,0,44,145,3,17,5165,13,39,3.3,117
2015-06-01,208,0,254,1088,21,86,52510,45,34,4.3,207
2015-06-02,160,0,195,801,12,81,57566,21,42,4.1,295
2015-06-03,126,0,141,678,12,39,39435,37,28,4.8,280
2015-06-04,160,0,184,935,13,61,51023,40,33,5.1,277
2015-06-05,151,0,168,822,20,49,43965,29,29,4.9,262
2015-06-06,36,0,40,178,2,12,6529,20,30,4.5,163
2015-06-07,27,0,37,143,4,12,9384,13,32,3.9,254
2015-06-08,151,0,178,1015,20,42,51427,37,24,5.7,289
2015-06-09,141,0,166,864,23,45,46069,27,27,5.2,278
2015-06-10,133,0,158,829,18,62,51801,44,39,5.2,328
2015-06-11,146,0,190,970,14,67,65648,37,35,5.1,346
2015-06-12,142,0,170,859,17,58,41357,48,34,5.1,243
2015-06-13,31,0,32,136,5,13,5893,17,41,4.3,184
2015-06-14,25,0,30,125,1,11,5302,18,37,4.2,177
2015-06-15,163,0,196,937,16,60,55887,32,31,4.8,285
2015-06-16,148,0,201,875,12,74,52835,34,37,4.4,263
2015-06-17,165,0,205,863,16,71,44422,38,35,4.2,217
2015-06-18,160,0,189,877,15,64,49850,29,34,4.6,264
2015-06-19,119,0,131,656,8,46,29815,29,35,5,228
2015-06-20,22,0,25,84,2,11,1920,11,44,3.4,77
2015-06-21,21,0,25,105,4,4,7705,13,16,4.2,308
2015-06-22,167,0,191,852,14,73,50936,77,38,4.5,267
2015-06-23,115,0,136,645,11,48,48404,67,35,4.7,356
2015-06-24,130,0,156,846,14,46,46790,77,29,5.4,300
2015-06-25,118,0,139,615,20,42,21862,22,30,4.4,157
2015-06-26,130,0,154,769,15,45,44117,59,29,5,286
2015-06-27,27,0,30,142,5,6,4003,24,20,4.7,133
2015-06-28,25,0,32,147,5,12,11474,21,38,4.6,359
2015-06-29,130,0,160,685,8,48,44337,35,30,4.3,277
2015-06-30,127,0,160,843,13,45,59518,41,28,5.3,372
2015-07-01,140,0,175,828,17,60,46749,38,34,4.7,267
2015-07-02,133,0,152,1253,12,42,62996,401,28,8.2,414
2015-07-03,132,0,160,698,12,58,38306,30,36,4.4,239
2015-07-04,38,0,40,168,3,14,6743,33,35,4.2,169
2015-07-05,38,0,43,189,5,11,10485,19,26,4.4,244
2015-07-06,129,0,165,715,16,54,50368,44,33,4.3,305
2015-07-07,148,0,191,925,18,52,79174,36,27,4.8,415
2015-07-08,158,0,206,772,13,68,31082,25,33,3.7,151
2015-07-09,150,0,181,756,14,58,49994,21,32,4.2,276
2015-07-10,106,0,127,533,10,56,25348,37,44,4.2,200
2015-07-11,17,0,20,52,2,14,2556,11,70,2.6,128
2015-07-12,15,0,15,66,1,5,3488,18,33,4.4,233
2015-07-13,55,0,59,182,6,24,4162,20,41,3.1,71
2015-07-14,30,0,32,98,1,19,1423,20,59,3.1,44
2015-07-15,105,0,122,620,11,39,33466,31,32,5.1,274
2015-07-16,133,0,165,723,9,53,46495,22,32,4.4,282
2015-07-17,113,0,132,578,10,39,35602,18,30,4.4,270
2015-07-18,24,0,26,89,4,11,3496,13,42,3.4,134
2015-07-19,26,0,27,120,2,10,3341,38,37,4.4,124
2015-07-20,117,0,142,705,13,48,42336,71,34,5,298
2015-07-21,143,0,170,875,9,47,65046,75,28,5.1,383
2015-07-22,111,0,142,597,8,48,43824,60,34,4.2,309
2015-07-23,124,0,146,760,20,40,45126,26,27,5.2,309
2015-07-24,101,0,119,491,3,47,22542,46,39,4.1,189
2015-07-25,28,0,32,128,3,12,5248,17,38,4,164
2015-07-26,25,0,26,117,3,9,4809,14,35,4.5,185
2015-07-27,105,0,128,555,7,50,27789,44,39,4.3,217
2015-07-28,95,0,111,478,9,44,22258,46,40,4.3,201
2015-07-29,119,0,140,599,8,50,23373,34,36,4.3,167
2015-07-30,116,0,131,590,16,43,32415,36,33,4.5,247
2015-07-31,95,0,113,420,9,39,22786,18,35,3.7,202
2015-08-01,19,0,20,69,4,8,6510,11,40,3.5,326
