date,nb_uniq_visitors,nb_users,nb_visits,nb_actions,nb_visits_converted,bounce_count,sum_visit_length,max_actions,bounce_rate,nb_actions_per_visit,avg_time_on_site
2014-03-31,3138,0,3496,14366,1152,1743,862948,194,50,4.1,247
2014-04-01,2559,0,2853,11682,898,1411,683525,121,49,4.1,240
2014-04-02,2795,0,3040,11458,961,1472,670700,101,48,3.8,221
2014-04-03,2570,0,2814,11164,835,1431,607253,106,51,4,216
2014-04-04,2300,0,2556,10980,772,1271,634703,340,50,4.3,248
2014-04-05,1026,0,1100,4169,287,581,250779,108,53,3.8,228
2014-04-06,1162,0,1279,4523,326,653,287795,104,51,3.5,225
2014-04-07,2471,0,2725,11183,817,1350,673037,152,50,4.1,247
2014-04-08,2783,0,3066,11723,980,1528,689734,90,50,3.8,225
2014-04-09,2508,0,2747,10503,817,1410,581184,122,51,3.8,212
2014-04-10,2346,0,2614,10957,754,1335,644302,326,51,4.2,246
2014-04-11,2500,0,2758,10480,874,1430,568054,127,52,3.8,206
2014-04-12,1091,0,1176,3920,332,618,211341,60,53,3.3,180
2014-04-13,1085,0,1165,4080,310,632,236032,291,54,3.5,203
2014-04-14,2729,0,2993,11433,954,1511,607510,85,50,3.8,203
2014-04-15,2419,0,2644,10139,822,1277,616307,114,48,3.8,233
2014-04-16,2370,0,2645,10608,811,1347,655412,238,51,4,248
2014-04-17,2192,0,2422,9199,699,1192,495184,89,49,3.8,204
2014-04-18,2154,0,2358,9042,762,1218,521685,131,52,3.8,221
2014-04-19,953,0,1022,3405,213,587,157106,70,57,3.3,154
2014-04-20,1000,0,1093,4683,345,539,243491,98,49,4.3,223
2014-04-21,1261,0,1378,5339,375,696,275580,92,51,3.9,200
2014-04-22,2505,0,2761,11285,825,1421,676581,566,51,4.1,245
2014-04-23,2714,0,3004,13198,940,1433,727012,130,48,4.4,242
2014-04-24,3162,0,3488,15619,1068,1597,862095,267,46,4.5,247
2014-04-25,2756,0,3053,13592,929,1397,809649,194,46,4.5,265
2014-04-26,1546,0,1656,6787,495,743,393859,92,45,4.1,238
2014-04-27,1762,0,1916,8307,620,819,483771,112,43,4.3,252
2014-04-28,2903,0,3150,13012,944,1484,721797,158,47,4.1,229
2014-04-29,2500,0,2726,11104,827,1351,601158,168,50,4.1,221
2014-04-30,2301,0,2540,9776,717,1252,489276,96,49,3.8,193
2014-05-01,1314,0,1435,5034,394,754,274121,395,53,3.5,191
2014-05-02,1752,0,1952,7334,534,1024,356921,118,52,3.8,183
2014-05-03,982,0,1071,4133,249,614,198986,263,57,3.9,186
2014-05-04,1040,0,1128,3764,253,645,185741,64,57,3.3,165
2014-05-05,2286,0,2508,9638,664,1253,493716,98,50,3.8,197
2014-05-06,2658,0,2873,11240,805,1483,566087,122,52,3.9,197
2014-05-07,2155,0,2371,9440,686,1201,496009,136,51,4,209
2014-05-08,1317,0,1423,4998,362,787,228375,144,55,3.5,160
2014-05-09,1767,0,1958,7021,518,1086,329804,115,55,3.6,168
2014-05-10,1423,0,1513,4870,439,822,245338,75,54,3.2,162
2014-05-11,1380,0,1505,4948,404,829,250954,122,55,3.3,167
2014-05-12,2694,0,2943,10235,793,1575,551243,107,54,3.5,187
2014-05-13,2484,0,2751,12315,785,1394,652581,1203,51,4.5,237
2014-05-14,2296,0,2551,10409,728,1344,549677,256,53,4.1,215
2014-05-15,2312,0,2538,9681,758,1328,553618,118,52,3.8,218
2014-05-16,1968,0,2158,7816,567,1151,418555,110,53,3.6,194
2014-05-17,923,0,1000,3040,212,620,143870,73,62,3,144
2014-05-18,1038,0,1111,3366,278,659,200030,382,59,3,180
2014-05-19,2408,0,2618,9362,695,1400,476790,122,53,3.6,182
2014-05-20,2385,0,2624,10519,716,1368,549596,146,52,4,209
2014-05-21,2533,0,2772,11279,761,1399,569266,208,50,4.1,205
2014-05-22,2458,0,2676,10511,761,1333,552151,130,50,3.9,206
2014-05-23,1907,0,2102,9343,598,1074,445556,424,51,4.4,212
2014-05-24,1155,0,1245,4066,325,680,196815,160,55,3.3,158
2014-05-25,1221,0,1308,3703,310,777,196390,58,59,2.8,150
2014-05-26,2806,0,3098,11727,922,1544,590572,275,50,3.8,191
2014-05-27,2287,0,2552,9567,665,1353,490910,108,53,3.7,192
2014-05-28,2075,0,2282,8955,611,1149,433668,255,50,3.9,190
2014-05-29,1179,0,1288,5652,332,718,300548,1054,56,4.4,233
2014-05-30,1466,0,1617,6924,475,815,346714,212,50,4.3,214
2014-05-31,1097,0,1167,4170,356,643,190983,264,55,3.6,164
2014-06-01,1115,0,1201,4090,334,703,172963,349,59,3.4,144
2014-06-02,2249,0,2471,9725,717,1295,525610,182,52,3.9,213
2014-06-03,2462,0,2732,9810,780,1422,545674,136,52,3.6,200
2014-06-04,2269,0,2493,10221,679,1283,499070,370,51,4.1,200
2014-06-05,1964,0,2177,8684,629,1096,486028,133,50,4,223
2014-06-06,1705,0,1885,8024,535,977,397105,136,52,4.3,211
2014-06-07,680,0,729,2771,182,395,126877,90,54,3.8,174
2014-06-08,723,0,787,2547,175,427,119995,63,54,3.2,152
2014-06-09,1163,0,1260,4512,303,682,216938,191,54,3.6,172
2014-06-10,2095,0,2307,9558,606,1228,510472,230,53,4.1,221
2014-06-11,2094,0,2319,9421,654,1162,525176,135,50,4.1,226
2014-06-12,1906,0,2082,8152,557,1086,432322,88,52,3.9,208
2014-06-13,1689,0,1877,7426,519,962,403234,127,51,4,215
2014-06-14,831,0,913,2816,220,527,139819,48,58,3.1,153
2014-06-15,867,0,931,4462,185,556,182089,1665,60,4.8,196
2014-06-16,2230,0,2444,9429,596,1256,504547,95,51,3.9,206
2014-06-17,2404,0,2654,10991,716,1338,603423,181,50,4.1,227
2014-06-18,2209,0,2439,9486,638,1273,536219,317,52,3.9,220
2014-06-19,2114,0,2328,8866,570,1220,465509,125,52,3.8,200
2014-06-20,1809,0,2022,8409,494,1049,465591,264,52,4.2,230
2014-06-21,741,0,815,2672,180,467,125228,94,57,3.3,154
2014-06-22,960,0,1029,2779,230,642,123568,54,62,2.7,120
2014-06-23,2108,0,2330,9340,571,1258,503925,592,54,4,216
2014-06-24,2079,0,2281,8772,656,1179,534832,249,52,3.8,234
2014-06-25,3999,0,4224,11708,1147,2760,635438,223,65,2.8,150
2014-06-26,2974,0,3182,9966,815,2000,520552,209,63,3.1,164
2014-06-27,1998,0,2177,7366,539,1215,384434,159,56,3.4,177
2014-06-28,927,0,998,2786,202,607,125207,58,61,2.8,125
2014-06-29,962,0,1043,2956,245,649,138408,141,62,2.8,133
2014-06-30,1840,0,2028,7578,517,1080,437147,129,53,3.7,216
2014-07-01,1975,0,2162,8128,560,1117,433182,137,52,3.8,200
2014-07-02,1955,0,2141,8419,581,1128,486281,277,53,3.9,227
2014-07-03,1996,0,2168,8442,604,1126,473241,855,52,3.9,218
2014-07-04,2064,0,2235,7375,478,1286,380802,156,58,3.3,170
2014-07-05,1063,0,1134,3181,248,683,151848,66,60,2.8,134
2014-07-06,1365,0,1452,4300,253,973,197694,166,67,3,136
2014-07-07,3212,0,3430,11008,855,1856,544933,108,54,3.2,159
2014-07-08,4445,0,4690,14877,1214,2292,778741,345,49,3.2,166
2014-07-09,2649,0,2873,9893,745,1521,523051,158,53,3.4,182
2014-07-10,2434,0,2662,11343,793,1310,652827,640,49,4.3,245
2014-07-11,2461,0,2683,10930,880,1281,587598,224,48,4.1,219
2014-07-12,851,0,933,2830,218,567,134855,59,61,3,145
2014-07-13,856,0,929,2717,209,562,136532,93,60,2.9,147
2014-07-14,940,0,1025,2987,223,613,149428,59,60,2.9,146
2014-07-15,2093,0,2276,8819,618,1166,484805,112,51,3.9,213
2014-07-16,1954,0,2159,8733,625,1135,472621,260,53,4,219
2014-07-17,1928,0,2095,8074,562,1090,467908,151,52,3.9,223
