date,label,nb_visits,entry_nb_visits,exit_nb_visits
2014-03-31,fr,5951,1668,2105
2014-03-31,/index,1413,1342,615
2014-03-31,dataset,296,94,101
2014-03-31,wiki,288,55,86
2014-03-31,/fr,161,34,48
2014-03-31,login,122,5,23
2014-03-31,en,109,69,63
2014-03-31,es_AR,62,43,39
2014-03-31,register,42,1,2
2014-03-31,u,42,11,7
2014-03-31,organization,39,15,7
2014-03-31,en_GB,29,10,8
2014-03-31,de,24,16,12
2014-03-31,sr_Latn,22,8,8
2014-03-31,da_DK,12,7,6
2014-03-31,my,12,0,1
2014-03-31,storage,11,5,5
2014-03-31,my_MM,9,4,6
2014-03-31,DataSet,8,8,6
2014-03-31,bg,6,3,3
2014-03-31,tr,6,6,6
2014-03-31,dv,5,5,5
2014-03-31,/en,4,0,2
2014-03-31,password,4,0,0
2014-03-31,/de,2,0,1
2014-03-31,/redevances,2,2,2
2014-03-31,cs_CZ,2,1,1
2014-03-31,uk_UA,2,1,2
2014-03-31,zh_CN,2,2,2
2014-03-31,/?xtmc=undefined&xtcr=7,1,1,1
2014-03-31,/f,1,0,0
2014-03-31,/index.php?title=Attraktive_Girls_obendrein_Leder-Frauen_rein_dieser_Arbeit_wie_Spielerseite&diff=prev&oldid=832,1,0,1
2014-03-31,/index.php?title=FAQ&action=edit,1,0,0
2014-03-31,/index.php?title=FAQ&action=history,1,0,0
2014-03-31,/index.php?title=FAQ&printable=yes,1,0,0
2014-03-31,/index.php?title=Guide_de_publication&action=edit,1,0,0
2014-03-31,/index.php?title=Guide_de_publication&action=history,1,0,0
2014-03-31,/index.php?title=Guide_de_publication&oldid=797,1,0,0
2014-03-31,/index.php?title=Moissonnage_des_dépôts_de_données_ouvertes&action=history&year=2015&month=-1,1,0,1
2014-03-31,/index.php?title=Open_Data_Camp&diff=prev&oldid=833,1,1,1
2014-03-31,/index.php?title=Spécial:Journal&type=merge&user=Maintenance_script&page=&year=&month=3,1,0,0
2014-03-31,/index.php?title=Spécial:Connexion&action=submitlogin&type=login&returnto=FAQ,1,0,0
2014-03-31,/index.php?title=Spécial:Connexion&action=submitlogin&type=signup&returnto=FAQ,1,0,0
2014-03-31,/index.php?title=Spécial:Connexion&returnto=FAQ,1,0,1
2014-03-31,/index.php?title=Spécial:Connexion&returnto=FAQ&type=signup,1,0,0
2014-03-31,/index.php?title=Utilisateur:Shezouani&action=edit&redlink=1,1,0,0
2014-03-31,/organization?page=1,1,0,0
2014-03-31,/organization?page=12,1,0,0
2014-03-31,/organization?page=13,1,0,0
2014-03-31,/organization?page=14,1,0,0
2014-03-31,en_AU,1,1,0
2014-03-31,fa_IR,1,0,1
2014-03-31,index.php?title=Licence_Ouverte_,1,0,0
2014-03-31,logout,1,0,1
2014-03-31,pt_BR,1,1,1
2014-03-31,t2data3,1,0,0
2014-04-01,fr,4981,1243,1655
2014-04-01,/index,1174,1116,503
2014-04-01,wiki,287,60,100
2014-04-01,dataset,265,139,140
2014-04-01,en,155,78,75
2014-04-01,/fr,112,29,39
2014-04-01,login,112,4,13
2014-04-01,register,59,5,5
2014-04-01,de,40,19,21
2014-04-01,es_AR,35,21,16
2014-04-01,u,23,4,3
2014-04-01,organization,22,10,5
2014-04-01,my_MM,12,4,1
2014-04-01,sr_Latn,11,7,5
2014-04-01,fa_IR,8,3,1
2014-04-01,uk_UA,8,4,4
2014-04-01,tr,6,6,4
2014-04-01,DataSet,5,3,4
2014-04-01,bg,4,4,3
2014-04-01,en_GB,4,3,3
2014-04-01,logout,4,1,1
2014-04-01,password,4,0,1
2014-04-01,/dataset?__no_cache__=True,3,0,0
2014-04-01,/en,3,0,0
2014-04-01,/index.php?title=FAQ&action=history,3,0,0
2014-04-01,en_AU,3,3,2
2014-04-01,my,3,0,0
2014-04-01,storage,3,0,0
2014-04-01,/index.php?title=Spécial:Connexion&returnto=FAQ&type=signup,2,0,0
2014-04-01,da_DK,2,2,2
2014-04-01,lv,2,0,0
2014-04-01,Page URL not defined,2,0,0
2014-04-01,/&sa=U&ei=i3U6U-aAMaT00gXzkoHoCw&ved=0CE4QFjAG&usg=AFQjCNHyHTVZTGhtwM-M1XGhyr35DpTF3A,1,1,1
2014-04-01,/&sa=U&ei=l-I6U4Nm4cbRBfPUgfgD&ved=0CFMQFjAH&usg=AFQjCNH_MFsni9snwAK7XEThvngnYRvkHw,1,1,1
2014-04-01,/&sa=U&ei=No46U9uoJo6a0QXx6ICYDA&ved=0CFMQFjAH&usg=AFQjCNFUU5zdNdrgYqxwHTDx335Hvkzz4A,1,1,1
2014-04-01,/?sk=gouv fr,1,1,0
2014-04-01,/c8ccb5de3fca1b451e8059c81e15d421.pdf,1,0,0
2014-04-01,/dataset,1,0,0
2014-04-01,/de,1,0,0
2014-04-01,/GOOGLE?FR,1,0,0
2014-04-01,/index.php?title=2nd_Open_Data_Camp&diff=prev&oldid=836,1,0,1
2014-04-01,/index.php?title=Accueil&action=history,1,0,0
2014-04-01,/index.php?title=FAQ&action=edit,1,0,0
2014-04-01,/index.php?title=Flux_temps_réel_des_données_Data.gouv.fr&action=edit,1,0,0
2014-04-01,/index.php?title=Moissonnage_des_dépôts_de_données_ouvertes&action=history&year=2015&month=-1,1,0,1
2014-04-01,/index.php?title=Spécial:Connexion&returnto=Licence Ouverte / Open Licence&type=signup,1,0,0
2014-04-01,/index.php?title=Spécial:Journal&page=Discussion:FAQ,1,0,0
2014-04-01,/proxy.ashx?h=5u2HU0z6BXOSLL58-_K5bRNNgOIquOly&a=http://www.data.gouv.fr/fr/search?q=trade,1,0,1
2014-04-01,/proxy.ashx?h=ps2Hd9hf65HE65xPFkyJyVPG8OWoY6Ss&a=http://www.data.gouv.fr/fr/groups/international-et-europe,1,0,0
2014-04-01,/proxy.ashx?h=QEvjRWXtDIHTO1XRdBGhu7dSs7ioY6Ss&a=http://www.data.gouv.fr/,1,1,0
2014-04-01,/storage,1,0,0
2014-04-01,cs_CZ,1,1,1
2014-04-01,index.php?title=Licence_Ouverte_,1,0,0
2014-04-01,index.php?title=Spécial:Connexion&action=submitlogin&type=signup&returnto=Licence Ouverte ,1,0,0
2014-04-01,pl,1,1,1
2014-04-01,pt_BR,1,1,1
2014-04-01,zh_CN,1,1,0
2014-04-02,fr,4619,1196,1646
2014-04-02,/index,1331,1267,550
2014-04-02,dataset,437,269,252
2014-04-02,wiki,285,44,84
2014-04-02,/fr,144,22,41
2014-04-02,login,128,6,15
2014-04-02,en,83,52,54
2014-04-02,es_AR,45,26,24
2014-04-02,register,37,6,6
2014-04-02,organization,28,17,9
2014-04-02,de,22,17,16
2014-04-02,en_GB,19,10,9
2014-04-02,u,19,2,4
2014-04-02,password,16,1,2
2014-04-02,sr_Latn,13,5,9
2014-04-02,da_DK,7,4,4
2014-04-02,en_AU,6,2,1
2014-04-02,tr,5,4,2
2014-04-02,fa_IR,4,3,3
2014-04-02,uk_UA,4,2,2
2014-04-02,/index.php?title=Spécial:Connexion&returnto=FAQ&type=signup,3,0,1
2014-04-02,Page URL not defined,3,0,0
2014-04-02,/index.php?title=FAQ&printable=yes,2,0,0
2014-04-02,bg,2,2,2
2014-04-02,DataSet,2,2,1
2014-04-02,storage,2,1,1
2014-04-02,/&sa=U&ei=9zY7U5K7JaGj0QXFkYHACw&ved=0CE4QFjAG&usg=AFQjCNHg6TDa2MFnnqB9E1VY6nC9rQjCWw,1,1,1
2014-04-02,/&sa=U&ei=GTQ8U-2PJeiw0AXy7oC4Cw&ved=0CEgQFjAD&usg=AFQjCNFbzHl3NPez5werDi3k2EemNTihYQ,1,1,1
2014-04-02,/&sa=U&ei=uN87U6-cNPC00QWCtoGYCw&ved=0CEgQFjAD&usg=AFQjCNFXOwL1UbgNAl4k_b3PXd3oJAhSfg,1,1,1
