date,nb_uniq_visitors,nb_users,nb_visits,nb_actions,nb_visits_converted,bounce_count,sum_visit_length,max_actions,bounce_rate,nb_actions_per_visit,avg_time_on_site
2016-09-26,851,6,885,11201,93,11,387205,4154,1,12.7,438
2016-09-27,879,6,922,7383,76,8,384312,287,1,8,417
2016-09-28,838,8,862,8511,75,6,353650,1900,1,9.9,410
2016-09-29,844,9,877,10321,87,5,401926,2785,1,11.8,458
2016-09-30,706,9,741,7889,80,5,332104,1661,1,10.6,448
2016-10-01,356,1,367,2658,50,3,136872,194,1,7.2,373
2016-10-02,386,3,397,3215,67,2,145916,278,1,8.1,368
2016-10-03,913,10,945,7077,89,5,396314,122,1,7.5,419
2016-10-04,983,6,1028,7488,97,4,418689,133,0,7.3,407
2016-10-05,896,3,935,18869,87,15,420523,12065,2,20.2,450
2016-10-06,913,6,949,6966,95,15,381828,137,2,7.3,402
2016-10-07,755,5,788,5896,79,5,330020,402,1,7.5,419
2016-10-08,328,3,347,7716,45,4,160603,5150,1,22.2,463
2016-10-09,348,3,356,2247,55,3,112989,145,1,6.3,317
2016-10-10,968,6,1003,12742,85,8,450198,4664,1,12.7,449
2016-10-11,912,11,946,14488,97,8,458916,5497,1,15.3,485
2016-10-12,916,8,954,8551,102,15,430654,574,2,9,451
2016-10-13,891,6,933,11851,74,15,427551,2994,2,12.7,458
2016-10-14,770,7,803,8160,78,7,347065,2017,1,10.2,432
2016-10-15,320,4,336,8322,52,2,150565,5247,1,24.8,448
2016-10-16,344,4,358,2327,47,2,113316,81,1,6.5,317
2016-10-17,983,8,1024,8475,92,12,437735,257,1,8.3,427
2016-10-18,1095,7,1147,10050,118,17,521387,465,1,8.8,455
2016-10-19,2380,8,2422,12201,164,22,538499,253,1,5,222
2016-10-20,976,9,1019,7843,142,13,373612,250,1,7.7,367
2016-10-21,785,6,815,6423,81,7,328728,300,1,7.9,403
2016-10-22,320,1,329,2139,36,1,91860,104,0,6.5,279
2016-10-23,414,3,431,2439,58,1,128994,69,0,5.7,299
2016-10-24,925,8,961,9815,95,13,432062,1235,1,10.2,450
2016-10-25,815,11,855,16923,90,3,422681,9589,0,19.8,494
2016-10-26,751,7,780,6129,92,6,333394,152,1,7.9,427
2016-10-27,800,5,840,12274,84,6,359784,6091,1,14.6,428
2016-10-28,645,5,674,10424,75,9,293542,5051,1,15.5,436
2016-10-29,279,5,287,5645,37,4,157939,2502,1,19.7,550
2016-10-30,320,2,330,5952,33,1,120241,3892,0,18,364
2016-10-31,590,1,615,4728,68,7,268980,329,1,7.7,437
2016-11-01,421,0,444,3039,46,5,191634,85,1,6.8,432
2016-11-02,833,9,865,12415,104,7,384823,3481,1,14.4,445
2016-11-03,828,9,854,17017,87,10,369061,6619,1,19.9,432
2016-11-04,770,5,803,6253,78,4,335640,168,0,7.8,418
2016-11-05,349,3,362,2481,42,3,116295,138,1,6.9,321
2016-11-06,360,2,368,5423,52,0,153036,2744,0,14.7,416
2016-11-07,868,5,897,6655,92,8,352378,188,1,7.4,393
2016-11-08,932,7,962,11352,84,10,441713,2887,1,11.8,459
2016-11-09,795,8,827,6643,85,5,386656,129,1,8,468
2016-11-10,789,4,813,12894,81,4,369560,6193,0,15.9,455
2016-11-11,368,2,383,2997,50,3,162612,199,1,7.8,425
2016-11-12,317,0,331,2120,33,5,118949,83,2,6.4,359
2016-11-13,403,3,416,11398,45,3,131699,8699,1,27.4,317
2016-11-14,1011,11,1042,28724,124,11,512519,13851,1,27.6,492
2016-11-15,1060,7,1120,14743,130,16,537679,4170,1,13.2,480
2016-11-16,1068,8,1116,19210,91,11,488047,7550,1,17.2,437
2016-11-17,1331,15,1380,14542,101,13,677069,716,1,10.5,491
2016-11-18,1173,14,1221,12883,105,11,605340,1773,1,10.6,496
2016-11-19,429,0,444,2765,36,7,141216,145,2,6.2,318
2016-11-20,565,5,590,13220,59,5,178032,3710,1,22.4,302
2016-11-21,1427,12,1474,16619,119,16,712751,6632,1,11.3,484
2016-11-22,1428,8,1493,16560,116,14,689028,3558,1,11.1,462
2016-11-23,1197,11,1233,10004,100,5,525174,681,0,8.1,426
2016-11-24,1216,8,1270,19085,90,8,548945,6124,1,15,432
2016-11-25,1121,14,1165,19857,91,8,546092,5354,1,17,469
2016-11-26,390,4,408,3724,44,4,145631,727,1,9.1,357
2016-11-27,436,2,453,3034,46,2,166216,140,0,6.7,367
2016-11-28,1258,12,1302,14789,108,12,573743,4046,1,11.4,441
2016-11-29,1414,13,1472,14332,105,20,675405,2806,1,9.7,459
2016-11-30,1289,17,1351,27408,113,18,638198,7712,1,20.3,472
2016-12-01,1226,14,1273,21948,109,15,620586,6563,1,17.2,487
2016-12-02,1048,10,1089,18422,97,12,574102,3839,1,16.9,527
2016-12-03,370,3,380,11079,45,2,162035,8443,1,29.2,426
2016-12-04,408,3,426,2580,48,1,149610,84,0,6.1,351
2016-12-05,1188,9,1232,28577,107,13,505221,9443,1,23.2,410
2016-12-06,1222,14,1259,25863,84,13,562721,12168,1,20.5,447
2016-12-07,1177,9,1220,15633,103,12,502267,4043,1,12.8,412
2016-12-08,1141,9,1197,11192,105,16,621245,519,1,9.4,519
2016-12-09,912,7,952,8508,85,13,409184,1808,1,8.9,430
2016-12-10,370,1,382,3096,46,3,162692,213,1,8.1,426
2016-12-11,448,6,466,9273,53,7,196902,3121,2,19.9,423
2016-12-12,1206,8,1260,13657,101,15,552868,4679,1,10.8,439
2016-12-13,1208,10,1258,17647,100,11,581753,7649,1,14,462
2016-12-14,1036,6,1071,8711,66,12,433236,1407,1,8.1,405
2016-12-15,1127,4,1163,9646,85,11,459841,2558,1,8.3,395
2016-12-16,1007,10,1040,8097,75,5,454339,462,0,7.8,437
2016-12-17,366,1,379,2183,45,5,100100,53,1,5.8,264
2016-12-18,169,2,173,1050,33,2,51837,89,1,6.1,300
2016-12-19,366,3,371,2360,30,5,115358,118,1,6.4,311
2016-12-20,986,10,1024,11303,82,12,440153,3666,1,11,430
2016-12-21,900,5,940,6331,58,7,398584,465,1,6.7,424
2016-12-22,888,7,932,20754,77,9,393868,10587,1,22.3,423
2016-12-23,644,5,672,6935,64,2,274032,2166,0,10.3,408
2016-12-24,219,1,226,6452,19,5,104904,5047,2,28.5,464
2016-12-25,172,0,177,1050,25,1,45472,89,1,5.9,257
2016-12-26,621,4,651,4282,69,2,227881,200,0,6.6,350
2016-12-27,712,14,749,7314,70,12,316022,1151,2,9.8,422
2016-12-28,757,7,786,5665,81,8,323479,322,1,7.2,412
2016-12-29,711,7,727,5297,75,3,253368,381,0,7.3,349
2016-12-30,540,5,559,6613,46,0,192598,2552,0,11.8,345
2016-12-31,281,1,284,1876,44,2,108304,74,1,6.6,381
2017-01-01,245,1,254,1605,38,3,77239,137,1,6.3,304
2017-01-02,941,10,964,6802,89,4,381922,268,0,7.1,396
2017-01-03,1476,13,1523,12925,131,14,633424,962,1,8.5,416
2017-01-04,1700,22,1757,21811,181,5,822470,4472,0,12.4,468
2017-01-05,2439,30,2614,26806,187,55,1222160,1958,2,10.3,468
2017-01-06,1815,27,1918,19890,175,33,865759,5743,2,10.4,451
2017-01-07,582,3,604,4486,57,5,233340,222,1,7.4,386
2017-01-08,637,5,662,5506,77,8,230619,953,1,8.3,348
2017-01-09,1828,16,1916,22514,153,27,871272,4524,1,11.8,455
2017-01-10,1713,19,1798,12685,170,30,751059,431,2,7.1,418
2017-01-11,1601,13,1658,16254,148,16,713367,3340,1,9.8,430
2017-01-12,1662,11,1739,13376,129,25,716794,1300,1,7.7,412
2017-01-13,1400,15,1475,14287,127,24,687695,1416,2,9.7,466
2017-01-14,497,4,512,4767,61,5,214016,723,1,9.3,418
2017-01-15,526,4,540,4638,67,0,178664,1009,0,8.6,331
2017-01-16,1652,12,1732,15277,107,20,688211,2198,1,8.8,397
2017-01-17,1626,15,1708,19589,135,24,705966,3491,1,11.5,413
2017-01-18,1558,15,1628,29933,145,28,599488,14200,2,18.4,368
2017-01-19,1576,16,1662,35275,148,21,744024,11631,1,21.2,448
2017-01-20,1278,12,1333,24454,110,15,609470,10357,1,18.3,457
2017-01-21,464,3,476,3560,52,5,188495,246,1,7.5,396
2017-01-22,576,3,594,3745,73,3,194003,100,1,6.3,327
2017-01-23,1627,15,1715,14471,150,21,728527,902,1,8.4,425
2017-01-24,1661,5,1732,13315,135,22,760959,976,1,7.7,439
2017-01-25,1603,18,1688,23993,142,27,653165,3540,2,14.2,387
2017-01-26,1601,24,1681,26103,137,21,728662,7439,1,15.5,433
2017-01-27,1313,16,1381,17007,124,23,558291,3480,2,12.3,404
2017-01-28,420,5,440,12445,48,6,196471,9625,1,28.3,447
2017-01-29,514,1,532,3312,73,4,191287,230,1,6.2,360
2017-01-30,1651,16,1715,15651,150,22,678675,2770,1,9.1,396
2017-01-31,1759,10,1830,17310,134,24,733225,4420,1,9.5,401
2017-02-01,1604,13,1679,11307,134,17,691677,566,1,6.7,412
2017-02-02,1586,13,1670,17988,121,19,679164,2781,1,10.8,407
2017-02-03,1270,10,1308,15469,108,12,538984,4599,1,11.8,412
2017-02-04,564,6,584,4231,78,2,210856,300,0,7.2,361
2017-02-05,650,5,670,7617,71,2,240429,1643,0,11.4,359
2017-02-06,1581,11,1643,22632,119,15,609739,7612,1,13.8,371
2017-02-07,1673,12,1751,20231,135,20,678355,5472,1,11.6,387
2017-02-08,1697,6,1783,11100,129,23,674632,302,1,6.2,378
2017-02-09,1737,18,1813,29627,177,18,797725,8990,1,16.3,440
2017-02-10,1400,5,1458,10657,124,19,569487,1255,1,7.3,391
2017-02-11,493,4,507,3528,69,3,188608,180,1,7,372
2017-02-12,547,3,575,4954,61,0,203319,1238,0,8.6,354
2017-02-13,1438,9,1498,11053,117,16,576529,1207,1,7.4,385
2017-02-14,1544,11,1604,14902,135,16,650523,3248,1,9.3,406
2017-02-15,1444,10,1506,13606,145,15,533385,4493,1,9,354
2017-02-16,1191,19,1249,20972,1035,23,572042,5792,2,16.8,458
2017-02-17,942,10,991,9413,809,12,447855,1296,1,9.5,452
2017-02-18,343,4,357,2310,277,2,149736,94,1,6.5,419
2017-02-19,410,3,428,2864,332,7,180894,119,2,6.7,423
2017-02-20,1183,11,1239,11909,1031,20,589616,2130,2,9.6,476
2017-02-21,1359,15,1428,11547,1179,17,615010,520,1,8.1,431
2017-02-22,1385,13,1446,20587,1216,17,610049,7268,1,14.2,422
2017-02-23,1435,12,1506,10978,1271,18,613463,523,1,7.3,407
2017-02-24,1191,14,1229,14032,1029,13,518506,3765,1,11.4,422
2017-02-25,487,3,502,19869,375,7,200788,9525,1,39.6,400
2017-02-26,602,4,625,3538,473,9,195293,125,1,5.7,312
2017-02-27,1510,9,1592,26137,1336,13,623680,5006,1,16.4,392
2017-02-28,1554,9,1632,13917,1384,20,676735,3593,1,8.5,415
2017-03-01,1539,11,1606,11775,1312,24,643679,1377,1,7.3,401
2017-03-02,1506,12,1554,18784,1299,23,619186,6453,1,12.1,398
2017-03-03,1528,14,1582,18194,1303,17,599342,5241,1,11.5,379
2017-03-04,612,2,629,4284,469,4,194837,484,1,6.8,310
2017-03-05,567,2,581,3264,434,10,193551,264,2,5.6,333
2017-03-06,1621,12,1687,24788,1393,16,776441,6436,1,14.7,460
2017-03-07,1666,11,1740,36633,1464,27,808225,18078,2,21.1,464
2017-03-08,1563,12,1646,12484,1372,20,675617,1543,1,7.6,410
2017-03-09,1380,8,1427,21495,1202,17,577838,10374,1,15.1,405
2017-03-10,977,5,1014,20393,821,21,415186,6302,2,20.1,409
2017-03-11,470,4,482,3152,383,3,167907,372,1,6.5,348
2017-03-12,562,2,574,7610,457,3,220005,3897,1,13.3,383
2017-03-13,1517,8,1570,16908,1306,27,643443,5377,2,10.8,410
2017-03-14,1281,4,1327,14367,1090,21,569494,5038,2,10.8,429
2017-03-15,1248,10,1300,11805,1054,16,539545,2591,1,9.1,415
2017-03-16,1184,12,1216,14055,1000,8,510206,4178,1,11.6,420
2017-03-17,1126,4,1172,8802,966,12,480228,725,1,7.5,410
2017-03-18,504,3,519,3653,392,2,186909,148,0,7,360
2017-03-19,538,2,558,5001,437,4,174017,1948,1,9,312
2017-03-20,1368,11,1448,22270,1171,14,678624,3783,1,15.4,469
2017-03-21,1392,14,1455,22991,1192,20,648332,9270,1,15.8,446
2017-03-22,1804,8,1870,13981,1478,33,722944,1895,2,7.5,387
2017-03-23,1487,7,1557,11356,1284,20,654855,899,1,7.3,421
2017-03-24,1242,8,1284,40072,1038,16,564495,19600,1,31.2,440
2017-03-25,489,2,502,2729,377,3,157566,119,1,5.4,314
2017-03-26,485,2,502,4033,393,8,181247,1186,2,8,361
2017-03-27,1440,12,1491,14074,1235,20,657079,3350,1,9.4,441
2017-03-28,1660,16,1718,18039,1427,16,732224,2031,1,10.5,426
2017-03-29,1259,10,1312,10621,1101,20,576069,744,2,8.1,439
