date,label,nb_visits,entry_nb_visits,exit_nb_visits
NA,api/1/discussions/ - Autres,192124,82,494
NA,fr/datasets/ - Autres,121080,59088,47601
NA,api/1/datasets/ - Autres,110969,64,105
NA,api/1/ - Autres,56691,311,53
NA,api/1/oembeds/ - Autres,51871,2,35
NA,api/1/spatial/ - Autres,42603,8,24
NA,api/1/reuses/types/ - Autres,40503,4,75
NA,api/1/datasets/frequencies/ - Autres,37952,0,26
NA,fr/index,36722,32042,16858
NA,api/1/spatial/zones/fr/town/ - Autres,14488,7,14
NA,fr/datasets/liste-publique-des-organismes-de-formation-l-6351-7-1-du-code-du-travail/index,12701,11765,6107
NA,fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/index,12401,10318,6314
NA,fr/reuses/ - Autres,10494,4870,3787
NA,api/1/organizations/ - Autres,9664,6,23
NA,api/1/metrics/ - Autres,9435,1,5
NA,fr/datasets/base-officielle-des-codes-postaux/index,6013,4759,2995
NA,fr/datasets/index,5962,467,889
NA,fr/organizations/ - Autres,5008,2814,2386
NA,fr/datasets/monreseaumobile/index,4082,4007,1916
NA,api/1/reuses/ - Autres,4023,0,4
NA,fr/datasets/correspondance-entre-les-codes-postaux-et-codes-insee-des-communes-francaises/index,3861,3523,1893
NA,api/1/me/ - Autres,3803,6,12
NA,fr/territory/town/ - Autres,3705,449,1163
NA,fr/topics/territoires-et-transports/index,3701,199,645
NA,fr/datasets/service-public-fr-guide-vos-droits-et-demarches-particuliers/index,3588,3510,2377
NA,fr/reuses/carte-des-bornes-de-recharge-pour-vehicules-electriques/index,3242,3112,1724
NA,fr/topics/sante-et-social/index,3117,300,646
NA,fr/datasets/associations-reconnues-d-utilite-publique/index,2866,2694,1262
NA,fr/topics/economie-et-emploi/index,2728,163,514
NA,fr/datasets/decoupage-administratif-communal-francais-issu-d-openstreetmap/index,2552,1145,857
NA,fr/topics/logement-developpement-durable-et-energie/index,2250,114,457
NA,fr/faq/citizen/index,2178,174,610
NA,fr/reuses/carte-interactive-des-debits-et-de-leligibilite-a-internet-par-commune/index,2045,1994,600
NA,fr/datasets/population/index,1988,1036,822
NA,fr/faq/index,1958,656,679
NA,fr/reuses/carte-des-perimetres-de-protection-de-monument-historique-2/index,1955,1884,1176
NA,fr/topics/agriculture-et-alimentation/index,1935,147,333
NA,fr/search/ - Autres,1897,109,327
NA,fr/datasets/associations/index,1858,1671,1200
NA,en/datasets/ - Autres,1737,787,651
NA,fr/topics/education-et-recherche/index,1712,139,318
NA,fr/dashboard/index,1710,72,349
NA,fr/topics/societe/index,1706,64,293
NA,fr/datasets/listes-des-communes-geolocalisees-par-regions-departements-circonscriptions-nd/index,1678,1309,890
NA,fr/topics/culture/index,1671,166,265
NA,fr/datasets/le-calendrier-scolaire/index,1549,1513,664
NA,api/1/spatial/zones/country/fr,1523,193,53
NA,api/1/issues/ - Autres,1497,0,3
NA,fr/datasets/parrainages/index,1396,1072,828
NA,fr/organizations/ministere-de-l-ecologie-du-developpement-durable-et-de-l-energie/index,1313,1254,1014
NA,fr/organizations/conseil-constitutionnel/index,1289,1236,777
NA,api/1/me/reuses/index,1261,259,52
NA,fr/datasets/table-ciqual-de-composition-nutritionnelle-des-aliments-format-csv/index,1259,1175,790
NA,fr/organizations/institut-national-de-la-propriete-industrielle-inpi/index,1258,1224,971
NA,fr/reuses/carte-de-localisation-des-aeroports/index,1254,1245,853
NA,fr/reuses/index,1228,66,733
NA,fr/datasets/?page=2,1192,28,114
NA,api/1/discussions/?for=5862206588ee38254d3f4e5e,1141,2,50
NA,fr/organizations/index,1119,690,96
NA,fr/organizations/institut-national-de-la-statistique-et-des-etudes-economiques-insee/index,1100,803,532
NA,fr/datasets/base-de-donnees-accidents-corporels-de-la-circulation/index,1093,815,658
NA,api/1/discussions/?for=582c8978c751df788ec0bb7e,1092,1,35
NA,fr/datasets/competence-territoriale-gendarmerie-et-police-nationales/index,1088,983,553
NA,fr/reuses/legislation-sur-les-drones-zone-de-vol-autorisee-pour-piloter-un-drone/index,1060,1037,767
NA,fr/faq/developer/index,1046,149,246
NA,fr/apidoc/index,1034,456,510
NA,api/1/spatial/zones/country-subset/fr/metro,1033,2,9
NA,fr/datasets/fichier-des-prenoms-edition-2016/index,1031,224,225
NA,api/1/discussions/?for=545b55e1c751df52de9b6045,993,0,21
NA,fr/datasets/transparence-sante-1/index,976,910,663
NA,"api/1/spatial/zones/country-subset/fr/domtom,country/fr",966,9,4
NA,fr/datasets/liste-des-maires-au-25-avril-2014/index,933,844,479
NA,fr/datasets/countours-des-circonscriptions-des-legislatives-nd/index,925,753,556
NA,fr/organizations/openstreetmap/index,916,701,343
